LOGIN_ID_GROUP,APP_ID,MENU_ID
"IT",1,11
"IT",1,12
"IT",1,13
"IT",1,14
"IT",1,15
"IT",1,16
"IT",1,17
"IT",1,18
"IT",1,19
"IT",1,20
"IT",1,21
"IT",1,22
"IT",1,23
"IT",1,24
"IT",1,25
"IT",1,26
"IT",1,27
"IT",1,28
"IT",1,29
"IT",1,30
"IT",1,31
"IT",1,32
"IT",1,33
"IT",1,34
"IT",1,35
"IT",1,36
"IT",1,37
"IT",1,38
"IT",1,39
"IT",1,40
"IT",1,41
"IT",1,42
"IT",1,43
"IT",1,44
"IT",1,45
"IT",1,46
"IT",1,47
"IT",1,48
"IT",1,49
"IT",1,50
"IT",1,51
"IT",1,52
"IT",1,53
"IT",1,54
"IT",1,55
"IT",1,56
"IT",1,57
"IT",1,58
"IT",1,59
"IT",1,60
"IT",1,61
"IT",1,62
"IT",1,63
"IT",1,64
"IT",1,65
"IT",1,66
"IT",1,67
"IT",1,68
"IT",1,69
"IT",1,70
"IT",1,71
"IT",1,72
"IT",1,73
"IT",1,74
"IT",1,75
"IT",1,76
"IT",1,77
"IT",1,78
"IT",1,79
"IT",1,80
"IT",1,81
"JONNY",1,4
"JONNY",1,82
"JONNY",1,83
"JONNY",1,84
"JONNY",1,85
"JONNY",1,86
